customer_id,name,email,phone,signup_date,region,city,gender,age
CUST00001,Nicole Anderson,morenoalan@martin.com,(973)112-1965x65234,2023-11-07,Colorado,New Carolyn,Female,26
CUST00002,Dominique Pugh,jamie98@adkins.com,761.379.1805,2023-09-04,Florida,Valenciashire,Other,30
CUST00003,Joshua Thompson,smithcarlos@yahoo.com,006.848.6661,2023-11-06,Ohio,West Christopher,Female,64
CUST00004,Thomas Mccann,peter14@kim.com,617-990-4210,2023-11-19,Florida,East Tylerstad,Other,22
CUST00005,Rachel Le,david41@rogers.com,149.177.8507x92524,2023-12-02,Connecticut,East Joycetown,Other,22
CUST00006,Scott Sanchez,patrick22@gmail.com,+1-635-365-4195,2023-07-28,North Carolina,East Jeffreyhaven,Male,50
CUST00007,Dr. Andrea Marshall,mark87@gmail.com,(349)493-7597x383,2023-08-03,Alabama,Johnsonside,Other,19
CUST00008,Ryan Wiley,blakenicholas@hotmail.com,001-413-836-7024x1038,2023-09-23,Vermont,Stephenland,Other,55
CUST00009,Kathy Walsh,vargasbryan@hotmail.com,(344)565-5743,2023-07-19,Illinois,Port Kayla,Female,55
CUST00010,Brian Cole,wmartinez@gmail.com,474.112.4903x521,2023-11-20,Kansas,Randyton,Male,20
CUST00011,Debbie Ewing,jbond@pierce.com,003-236-5199,2023-08-24,California,North Jamesmouth,Other,34
CUST00012,Anna Boone,williamssteven@gmail.com,001-667-066-2532,2023-08-27,Louisiana,Stephensonton,Other,52
CUST00013,Lisa Holland,eandrade@gmail.com,462-638-3806,2023-12-03,Virginia,Timothyfort,Female,59
CUST00014,Keith Morris,anthonyharper@gmail.com,001-407-859-3213x34803,2023-10-24,Missouri,Savannahburgh,Male,41
CUST00015,Kevin Drake,warnermichael@hotmail.com,001-293-784-2701,2023-07-15,Iowa,North Alisha,Female,32
CUST00016,Thomas Harris,jennifer50@hernandez.com,001-185-156-9154x52267,2023-11-08,Massachusetts,Lake Tanya,Other,64
CUST00017,Tanya Buchanan,nicholasgross@anderson-daniel.org,(902)959-3917x2513,2023-09-10,Massachusetts,Lake Nicole,Female,26
CUST00018,Michael Fowler,nsmith@gmail.com,001-154-100-6762x676,2023-09-11,Ohio,Garciafort,Female,50
CUST00019,Laura Chang,shannonlloyd@phillips.com,152-621-8159,2023-11-01,New Mexico,South Sherriburgh,Other,23
CUST00020,Jessica Brown,terriortiz@hotmail.com,001-844-431-0698x7205,2023-07-05,Nevada,West Madisonfort,Female,41
CUST00021,Alexander Jackson,wellsdarrell@yahoo.com,741.862.5652x7047,2023-10-03,Kentucky,Port Joseph,Other,18
CUST00022,Paul Contreras,lindsey69@spencer.net,(879)374-1608x98992,2023-07-28,Wisconsin,Thompsonburgh,Other,33
CUST00023,Rhonda Martinez,mcneilryan@hotmail.com,(945)116-8685,2023-12-18,Louisiana,Starktown,Other,61
CUST00024,Lisa Mills,perryeddie@hotmail.com,001-119-148-5646,2023-11-09,New York,Johnsonview,Male,50
CUST00025,Luke Becker,fosternatasha@hotmail.com,074.505.4447,2023-12-18,Vermont,Port Jeremyport,Male,46
CUST00026,Jessica Petersen,fjacobs@gmail.com,367.850.8214x862,2023-12-03,North Dakota,East Jamesborough,Male,29
CUST00027,Danielle Bryant,joshuacolon@hotmail.com,(103)579-7279x8552,2023-12-14,Kentucky,West Anthonyton,Other,54
CUST00028,Kenneth Hanna,ericaadams@palmer-hancock.com,229.034.9446x6574,2023-08-16,New Jersey,Ericafurt,Other,27
CUST00029,Adrienne Key,kenneth17@gmail.com,454-443-2830x96520,2023-11-09,New York,Jordanchester,Other,64
CUST00030,Norman Aguilar,jessica38@glover.net,282-417-2482x5135,2023-08-17,West Virginia,Robertmouth,Female,40
CUST00031,Kevin Ford,obrown@carpenter.com,168.460.2235x69725,2023-12-19,Virginia,Port Christopher,Male,32
CUST00032,William Edwards,hayesjason@johnston.info,001-129-666-6760x08350,2023-12-25,Massachusetts,North Erica,Female,32
CUST00033,Danielle Steele,david68@hotmail.com,210-447-8985x6257,2023-09-12,Wisconsin,East Stacy,Male,34
CUST00034,Jennifer Perez,jessicalawrence@martinez.com,(489)090-1001x6761,2023-10-19,Kentucky,Milesborough,Female,32
CUST00035,Lorraine Turner,cindy26@hunt.com,117-393-4835x6420,2023-10-19,New York,Lake Sarah,Male,60
CUST00036,Aaron Powers,fhernandez@jones.com,447.012.0455x611,2023-12-17,Wisconsin,North Melissaburgh,Male,51
CUST00037,Steven Friedman,watsonmatthew@gmail.com,(674)676-2120x2169,2023-10-06,Oregon,Whitefurt,Female,42
CUST00038,Lisa Huffman,hknapp@alexander-brown.com,8993588916,2023-11-10,Washington,South Michael,Female,47
CUST00039,Janice Combs,schneidereric@christian-booth.com,001-753-540-8386x63177,2023-12-07,Oregon,Millerfort,Male,20
CUST00040,Bryan Jimenez,powellbarry@smith.org,+1-488-375-5037x5899,2023-10-04,Virginia,Jenniferville,Other,38
CUST00041,Matthew Smith,amy51@gmail.com,(726)149-3316,2023-08-15,New Jersey,Lake Matthew,Male,63
CUST00042,Amber Schultz,lellis@taylor.com,+1-697-829-2216,2023-11-09,Rhode Island,Williamfurt,Other,58
CUST00043,Lee Schwartz,raymond54@ballard-taylor.org,001-848-583-3394x522,2023-10-10,Ohio,Jenniferstad,Female,65
CUST00044,Lauren Bender,natalie60@hotmail.com,062-003-4244,2023-08-02,Arkansas,Jamesside,Female,55
CUST00045,Robert Garcia,yyoung@roberts.biz,(580)043-9735x98933,2023-08-31,New Hampshire,Lake Charles,Other,54
CUST00046,Nancy Wilson,qramirez@martin.com,720-259-0947x98515,2023-10-15,Iowa,New Carlos,Male,42
CUST00047,Jennifer Herrera,jeffrey35@ward-robinson.org,780.157.3993x05616,2023-08-23,Ohio,Angelhaven,Other,42
CUST00048,Jaime Lang,pwilliams@gmail.com,811-288-0133x61386,2023-11-07,California,North Stephen,Female,55
CUST00049,Brandon Brown,andrewsjeremy@yahoo.com,(676)650-6180x91901,2023-09-12,North Carolina,West Kristinport,Other,22
